"Agent_ID","Cluster","Team_Size","Sprint_Length_Weeks","Commit_Frequency_Per_Day","Security_Debt","Vulnerabilities_Open","Automated_Scan_Coverage","Predicted_Security_Debt","Residual_Error"
427,"Cluster 2",24,2,6,45.15,20,69,44.92,0.23
428,"Cluster 2",30,1,7,51.69,22,59,48.81,2.88
429,"Cluster 2",21,2,6,46.54,20,66,45.85,0.69
430,"Cluster 3",48,2,1,74.14,32,43,74.52,-0.38
431,"Cluster 3",52,3,6,68.55,29,47,69.39,-0.84
432,"Cluster 1",10,1,16,20.46,12,84,22.91,-2.45
433,"Cluster 2",27,2,10,42.99,20,57,44.74,-1.75
434,"Cluster 3",50,2,5,77.68,33,28,77.46,0.22
435,"Cluster 2",25,2,6,37.8,17,66,40.6,-2.8
436,"Cluster 1",13,2,14,15.01,7,92,15.28,-0.27
437,"Cluster 2",23,2,7,40.04,20,73,42.72,-2.68
438,"Cluster 1",3,2,12,16.83,11,87,18.91,-2.08
439,"Cluster 2",30,2,7,54.81,26,53,53.27,1.54
440,"Cluster 2",27,2,8,29.63,14,73,34.25,-4.62
441,"Cluster 2",19,2,5,43.77,18,61,44.24,-0.47
442,"Cluster 1",10,2,14,22.77,11,79,23.28,-0.51
443,"Cluster 1",8,2,13,11.04,6,90,15,-3.96
444,"Cluster 2",26,3,9,52.75,26,55,51.58,1.17
445,"Cluster 3",54,1,1,78.56,31,31,76.05,2.51
446,"Cluster 1",13,2,15,16.76,7,82,17.96,-1.2
447,"Cluster 3",55,2,4,80.95,33,39,77.25,3.7
448,"Cluster 2",27,2,10,54.62,26,55,51.68,2.94
449,"Cluster 2",24,3,8,42.82,20,54,44.9,-2.08
450,"Cluster 1",8,3,12,19.2,11,83,19.63,-0.43
451,"Cluster 1",7,4,17,14.65,7,88,16.13,-1.48
452,"Cluster 2",25,1,11,39.31,20,57,44.87,-5.56
453,"Cluster 2",23,2,6,43.6,21,59,46.51,-2.91
454,"Cluster 2",26,1,10,47.01,21,70,44.32,2.69
455,"Cluster 2",24,1,8,32.08,14,72,37.81,-5.73
456,"Cluster 3",54,2,4,81.57,37,32,79.86,1.71
457,"Cluster 3",49,2,5,77.82,32,34,76.24,1.58
458,"Cluster 1",17,3,13,23.11,14,82,22.62,0.49
459,"Cluster 2",27,2,8,45.31,21,66,45.62,-0.31
460,"Cluster 2",23,2,8,41.07,18,66,42.07,-1
461,"Cluster 3",51,4,1,68.39,31,47,69.69,-1.3
462,"Cluster 1",9,2,17,18.32,11,86,19.97,-1.65
463,"Cluster 1",9,2,16,16.99,7,93,15.59,1.4
464,"Cluster 2",22,2,8,44.19,22,70,44.58,-0.39
465,"Cluster 1",10,2,14,11.69,7,96,14.46,-2.77
466,"Cluster 2",33,1,8,40.96,18,81,38.22,2.74
467,"Cluster 2",18,2,6,41.92,18,65,43.27,-1.35
468,"Cluster 1",8,4,16,31,15,79,27.14,3.86
469,"Cluster 2",21,2,9,40.48,17,69,40.68,-0.2
470,"Cluster 3",52,2,3,77.53,33,32,76.87,0.66
471,"Cluster 2",26,1,8,50.53,22,71,47.01,3.52
472,"Cluster 3",56,2,4,72.03,31,46,71.22,0.81
473,"Cluster 1",10,3,13,21.67,9,82,19.08,2.59
474,"Cluster 3",49,3,3,74.54,33,35,75.43,-0.89
475,"Cluster 1",17,2,15,15.36,8,84,19.06,-3.7
476,"Cluster 1",12,2,16,23.03,11,72,25,-1.97
477,"Cluster 1",7,1,16,18.62,9,84,20.23,-1.61
478,"Cluster 2",25,3,8,44.02,22,61,45.48,-1.46
479,"Cluster 2",24,2,5,45.47,19,65,43.67,1.8
480,"Cluster 1",11,3,14,26.84,11,74,24.51,2.33
481,"Cluster 2",20,1,10,33.32,16,73,37.02,-3.7
482,"Cluster 3",49,2,5,84.52,34,25,81.15,3.37
483,"Cluster 2",28,1,7,48.36,21,51,48.91,-0.55
484,"Cluster 1",8,2,15,22.61,10,87,17.93,4.68
485,"Cluster 3",53,1,3,69.36,32,49,70.89,-1.53
486,"Cluster 2",23,2,9,39.73,16,63,40.4,-0.67
487,"Cluster 2",27,2,6,34.78,18,71,41.09,-6.31
488,"Cluster 1",5,2,13,23.06,13,81,22.75,0.31
489,"Cluster 1",12,4,15,19.6,11,86,19.71,-0.11
490,"Cluster 3",52,3,4,77.85,36,37,78.06,-0.21
491,"Cluster 3",51,3,2,86.82,38,28,83.34,3.48
492,"Cluster 2",30,3,6,41,17,72,40.12,0.88
493,"Cluster 1",12,4,15,21.64,13,76,24.72,-3.08
494,"Cluster 1",7,2,17,12.33,7,89,15.47,-3.14
495,"Cluster 2",30,2,12,41.53,17,73,39.08,2.45
496,"Cluster 3",51,3,3,72.67,33,50,72.48,0.19
497,"Cluster 2",20,2,13,65.53,31,47,58.66,6.87
498,"Cluster 2",23,2,9,44.44,21,65,44.86,-0.42
499,"Cluster 1",14,2,14,6.78,3,91,11.7,-4.92
500,"Cluster 3",53,3,2,72.33,33,46,72.16,0.17
501,"Cluster 2",25,2,5,43.03,21,79,39.13,3.9
502,"Cluster 2",25,1,8,50.48,22,59,48.35,2.13
503,"Cluster 2",29,3,5,41.98,20,65,42.45,-0.47
504,"Cluster 2",29,1,11,45.75,19,62,43.94,1.81
505,"Cluster 2",27,2,11,42.24,18,56,43.42,-1.18
506,"Cluster 2",24,2,4,35.21,16,75,36.71,-1.5
507,"Cluster 1",8,2,14,12.03,6,94,14.34,-2.31
508,"Cluster 1",12,3,14,10.43,4,91,12.72,-2.29
509,"Cluster 3",50,3,4,77.5,33,42,75.01,2.49
510,"Cluster 2",21,2,9,42.83,18,55,43.93,-1.1
511,"Cluster 1",8,2,15,26.09,14,80,25,1.09
512,"Cluster 2",25,2,12,49.03,22,58,47.37,1.66
513,"Cluster 3",50,2,3,62.18,26,61,61.29,0.89
514,"Cluster 2",16,1,10,53.93,25,58,49.19,4.74
515,"Cluster 1",8,1,13,26.63,11,81,23.69,2.94
516,"Cluster 2",28,1,7,41.42,18,68,42.24,-0.82
517,"Cluster 1",14,3,15,22.91,10,79,21.98,0.93
518,"Cluster 3",53,2,4,68.86,29,46,68.84,0.02
519,"Cluster 2",20,2,4,43.61,20,61,46.72,-3.11
520,"Cluster 3",52,3,1,71.51,31,51,70.89,0.62
521,"Cluster 2",28,2,11,36.05,18,71,41.24,-5.19
522,"Cluster 2",27,2,8,43.72,21,67,44.48,-0.76
523,"Cluster 2",26,1,8,34.64,19,75,37.9,-3.26
524,"Cluster 2",24,2,5,40.78,18,67,41.95,-1.17
525,"Cluster 1",8,2,16,23.57,12,83,22.66,0.91
526,"Cluster 1",12,2,15,18.43,8,84,18.5,-0.07
527,"Cluster 3",47,2,1,77.55,31,33,75.79,1.76
528,"Cluster 2",22,2,7,42.79,19,65,42.11,0.68
529,"Cluster 3",45,2,4,75.67,32,32,75.27,0.4
530,"Cluster 2",32,2,8,46.44,21,65,46.09,0.35
531,"Cluster 3",50,2,2,71.72,31,41,72.55,-0.83
532,"Cluster 1",8,2,15,26.44,13,82,23.97,2.47
533,"Cluster 1",11,2,16,19.17,11,84,21.21,-2.04
534,"Cluster 3",47,2,2,67.9,32,41,74.93,-7.03
535,"Cluster 2",24,3,7,34.02,16,67,37.12,-3.1
536,"Cluster 1",6,3,16,18.68,11,98,18.64,0.04
537,"Cluster 2",27,2,12,49.03,21,60,45.78,3.25
538,"Cluster 3",51,4,1,66.48,29,44,68.81,-2.33
539,"Cluster 1",9,1,15,14.04,10,88,18.38,-4.34
540,"Cluster 2",25,2,8,50.71,25,59,50.22,0.49
541,"Cluster 3",47,3,1,75.61,31,27,75.54,0.07
542,"Cluster 2",26,2,12,42.07,17,69,40.34,1.73
543,"Cluster 3",51,4,4,76.49,35,43,76.15,0.34
544,"Cluster 2",26,1,9,55.74,24,62,50.11,5.63
545,"Cluster 3",50,2,2,79.35,36,37,79.83,-0.48
546,"Cluster 3",48,2,2,87.21,40,37,83.13,4.08
547,"Cluster 2",25,2,7,52.01,24,57,49.82,2.19
548,"Cluster 3",47,3,2,73.18,33,40,74.55,-1.37
549,"Cluster 3",50,2,3,70.03,32,29,76.21,-6.18
550,"Cluster 2",31,2,9,49.54,22,64,47.54,2
551,"Cluster 2",27,3,10,44.53,21,64,43.92,0.61
552,"Cluster 2",31,2,10,50.93,24,59,48.84,2.09
553,"Cluster 1",7,2,16,22.44,13,79,24.24,-1.8
554,"Cluster 3",49,2,1,86.91,39,23,83.74,3.17
555,"Cluster 1",6,2,14,18.28,10,82,19.7,-1.42
556,"Cluster 1",9,2,14,26.8,11,73,25.63,1.17
557,"Cluster 1",4,2,14,9.74,7,86,15.77,-6.03
558,"Cluster 1",16,1,20,30.51,16,75,28.1,2.41
559,"Cluster 1",7,3,14,13.4,8,93,14.93,-1.53
560,"Cluster 2",28,1,5,43.88,18,64,43.49,0.39
561,"Cluster 2",24,2,10,58.11,28,44,57.44,0.67
562,"Cluster 3",49,1,4,80.94,37,40,78.39,2.55
563,"Cluster 3",49,1,2,72.93,30,40,73.09,-0.16
564,"Cluster 2",27,2,5,37.63,20,74,40.4,-2.77
565,"Cluster 1",9,1,9,16.54,11,82,24.67,-8.13
566,"Cluster 1",11,1,14,28.56,16,76,27.96,0.6
567,"Cluster 2",26,3,9,38.07,16,79,37.1,0.97
568,"Cluster 3",46,1,2,78.2,35,37,79.61,-1.41
569,"Cluster 1",9,1,16,24.09,13,83,24.44,-0.35
570,"Cluster 3",51,3,3,76.67,33,42,74.41,2.26
571,"Cluster 1",12,2,16,26.64,15,73,26.67,-0.03
572,"Cluster 3",49,2,2,69.78,31,43,71.94,-2.16
573,"Cluster 1",7,2,16,16.27,11,85,20.45,-4.18
574,"Cluster 1",13,3,16,10.15,7,90,14.36,-4.21
575,"Cluster 3",51,1,3,71.65,30,38,73.97,-2.32
576,"Cluster 1",8,1,16,23.19,10,88,19.18,4.01
577,"Cluster 1",12,2,15,13.53,8,89,15.95,-2.42
578,"Cluster 2",28,2,8,46.66,22,65,47.49,-0.83
579,"Cluster 1",6,1,18,17.47,10,81,19.17,-1.7
580,"Cluster 1",6,1,16,14.24,6,86,16.06,-1.82
581,"Cluster 3",49,2,2,80.87,33,37,77.65,3.22
582,"Cluster 3",49,2,2,70.59,31,46,70.81,-0.22
583,"Cluster 3",54,2,5,76.47,33,38,76.43,0.04
584,"Cluster 2",25,1,8,36.42,15,74,37.14,-0.72
585,"Cluster 3",54,1,4,66.16,28,46,68.49,-2.33
586,"Cluster 2",27,2,8,36.51,15,72,36,0.51
587,"Cluster 2",30,1,3,54.25,26,55,54.35,-0.1
588,"Cluster 1",10,2,16,6.7,7,97,14.93,-8.23
589,"Cluster 3",49,1,4,68.85,32,45,71.06,-2.21
590,"Cluster 1",12,2,18,17.22,9,83,18.52,-1.3
591,"Cluster 1",13,2,16,26.69,11,87,19.02,7.67
592,"Cluster 2",22,2,11,51.83,25,61,50.27,1.56
593,"Cluster 3",52,3,1,82.16,36,26,80.26,1.9
594,"Cluster 2",31,1,7,41.57,18,60,43.36,-1.79
595,"Cluster 2",24,4,7,45.37,21,55,46.49,-1.12
596,"Cluster 3",50,2,1,82.07,33,44,75.29,6.78
597,"Cluster 1",4,1,13,15.18,7,84,18.99,-3.81
598,"Cluster 2",26,3,8,41.13,21,68,41.3,-0.17
599,"Cluster 3",44,4,4,71.78,33,37,75.79,-4.01
600,"Cluster 2",24,2,7,44.51,19,74,41.86,2.65
601,"Cluster 2",29,2,4,36.56,15,73,36.55,0.01
602,"Cluster 1",10,2,15,26.78,16,86,25.6,1.18
603,"Cluster 2",24,2,7,43.3,21,54,47.24,-3.94
604,"Cluster 2",27,2,9,49.33,23,61,47.83,1.5
605,"Cluster 2",21,3,6,47.16,21,58,46.08,1.08
606,"Cluster 3",44,2,1,76.04,32,43,74.68,1.36
607,"Cluster 2",31,2,10,43.42,22,74,43.17,0.25
608,"Cluster 3",50,2,4,70.32,32,44,71.74,-1.42
609,"Cluster 2",25,2,7,52.01,23,59,48.61,3.4
610,"Cluster 2",28,3,11,56.37,27,45,55.79,0.58
611,"Cluster 1",13,2,14,24.52,10,74,23.07,1.45
612,"Cluster 2",25,2,4,45.54,20,64,45.47,0.07
613,"Cluster 2",22,2,10,43.2,21,66,44.33,-1.13
614,"Cluster 3",52,3,5,68.25,30,52,69.01,-0.76
615,"Cluster 1",9,1,16,11.21,9,100,16.6,-5.39
616,"Cluster 3",55,1,1,72.21,30,52,70.49,1.72
617,"Cluster 3",46,4,6,70.32,29,45,69.55,0.77
618,"Cluster 3",45,4,5,71.74,29,43,71.16,0.58
619,"Cluster 3",48,2,3,76.83,32,41,74.84,1.99
620,"Cluster 2",29,2,9,45.08,23,66,46.42,-1.34
621,"Cluster 3",49,2,3,82.19,36,37,79.94,2.25
622,"Cluster 3",53,3,1,74.55,32,37,74.7,-0.15
623,"Cluster 3",49,2,1,84.71,35,28,81.79,2.92
624,"Cluster 2",21,1,11,51.62,24,57,49.57,2.05
625,"Cluster 2",24,1,7,41.59,17,71,41.5,0.09
626,"Cluster 2",24,2,3,46.91,20,58,47.11,-0.2
627,"Cluster 2",28,3,4,52.11,22,55,50.72,1.39
628,"Cluster 3",50,2,4,80.39,34,37,78.89,1.5
629,"Cluster 2",24,1,5,52.51,23,65,47.15,5.36
630,"Cluster 2",17,2,7,48.89,21,60,47.19,1.7
631,"Cluster 3",52,2,4,80.57,34,33,79.75,0.82
632,"Cluster 3",50,2,3,73.64,34,44,75.77,-2.13
633,"Cluster 1",7,1,16,11.09,7,96,14.88,-3.79
634,"Cluster 1",12,2,16,21.32,12,77,23.05,-1.73
635,"Cluster 2",21,3,9,45.27,22,71,44.44,0.83
636,"Cluster 2",26,1,7,44.23,19,64,43.82,0.41
637,"Cluster 3",49,2,1,70.94,33,51,72.36,-1.42
638,"Cluster 3",51,2,1,72.42,30,40,71.75,0.67
639,"Cluster 3",50,2,5,73.76,33,40,75.17,-1.41
640,"Cluster 1",17,2,15,26.52,13,85,24.1,2.42
641,"Cluster 1",7,2,17,19.71,10,82,20.41,-0.7
642,"Cluster 3",51,2,3,75.84,31,41,72.61,3.23
643,"Cluster 3",51,3,2,82.77,33,26,77.64,5.13
644,"Cluster 2",23,1,9,36.88,18,64,41.78,-4.9
645,"Cluster 2",25,2,9,39.52,19,73,41.18,-1.66
646,"Cluster 1",10,2,15,13.78,10,87,17.43,-3.65
647,"Cluster 1",6,2,15,16.49,11,88,19.56,-3.07
648,"Cluster 2",29,2,6,49.69,23,58,48.64,1.05
649,"Cluster 2",27,2,6,44.76,23,67,46.62,-1.86
650,"Cluster 1",7,1,15,22.98,11,87,21.05,1.93
651,"Cluster 3",46,2,4,81.13,34,35,78.7,2.43
652,"Cluster 3",51,3,1,78.96,36,30,79.83,-0.87
653,"Cluster 1",4,2,12,25.73,15,73,27.36,-1.63
654,"Cluster 1",5,1,16,17.35,10,83,20.73,-3.38
655,"Cluster 1",10,2,15,19.41,8,86,18.44,0.97
656,"Cluster 3",47,2,2,77.27,36,42,76.57,0.7
657,"Cluster 3",49,1,1,69.09,28,33,73.25,-4.16
658,"Cluster 2",24,2,5,46.09,21,66,44.94,1.15
659,"Cluster 1",5,2,19,14.68,9,83,18.24,-3.56
660,"Cluster 2",22,2,8,42.39,21,67,44.31,-1.92
661,"Cluster 3",52,2,4,77.02,34,38,78.72,-1.7
662,"Cluster 3",52,2,3,75.33,34,41,76.66,-1.33
663,"Cluster 2",25,2,8,38.4,20,76,39.79,-1.39
664,"Cluster 1",8,2,11,20.91,12,79,21.7,-0.79
665,"Cluster 2",29,1,8,44.09,18,62,43.66,0.43
666,"Cluster 2",26,1,9,54.04,26,53,52.69,1.35
667,"Cluster 3",51,2,2,76.76,32,48,72.71,4.05
668,"Cluster 2",22,1,6,48.32,19,56,45.93,2.39
669,"Cluster 1",12,3,15,12.39,6,89,13.94,-1.55
670,"Cluster 2",25,4,12,53.43,23,55,48.9,4.53
671,"Cluster 2",22,3,9,48.91,21,62,46.37,2.54
672,"Cluster 1",10,1,15,29.08,13,79,26.48,2.6
673,"Cluster 2",25,2,7,41.79,19,73,41.03,0.76
674,"Cluster 2",20,3,7,41.46,19,67,40.91,0.55
675,"Cluster 1",13,1,18,18.23,8,88,15.4,2.83
676,"Cluster 1",13,2,15,11.11,8,87,16.01,-4.9
677,"Cluster 3",50,2,3,70.67,32,45,71.07,-0.4
678,"Cluster 2",23,2,4,50.64,25,58,50.82,-0.18
679,"Cluster 1",13,1,14,10.52,4,95,13.9,-3.38
680,"Cluster 1",11,3,12,21.73,13,84,21.74,-0.01
681,"Cluster 1",5,1,17,18.96,10,82,20.37,-1.41
682,"Cluster 1",13,3,16,17.62,11,88,18.67,-1.05
683,"Cluster 3",48,2,6,79.92,35,35,79.83,0.09
684,"Cluster 3",53,2,1,69.89,29,49,69.42,0.47
685,"Cluster 3",46,2,5,73.51,32,44,72.44,1.07
686,"Cluster 1",15,1,16,25.4,11,74,24.83,0.57
687,"Cluster 1",13,2,16,23.25,11,75,23.2,0.05
688,"Cluster 2",25,2,7,52.53,24,67,48.05,4.48
689,"Cluster 1",8,4,16,26.84,16,78,27.62,-0.78
690,"Cluster 2",24,1,12,55.39,27,57,50.75,4.64
691,"Cluster 2",27,2,9,40.96,19,66,42.5,-1.54
692,"Cluster 1",12,1,17,15.42,8,95,15.56,-0.14
693,"Cluster 1",16,3,16,16.55,8,88,15.33,1.22
694,"Cluster 2",23,4,11,39.01,19,64,40.41,-1.4
695,"Cluster 2",25,2,8,35.59,16,71,38.02,-2.43
696,"Cluster 1",19,4,16,11.61,6,88,16.88,-5.27
697,"Cluster 2",23,2,11,45.29,23,59,47.51,-2.22
698,"Cluster 2",25,3,5,32.89,15,76,34.88,-1.99
699,"Cluster 1",3,2,10,23.71,11,83,22.3,1.41
700,"Cluster 2",21,2,10,52.6,25,64,49.39,3.21
701,"Cluster 3",51,2,4,78.9,33,27,77.59,1.31
702,"Cluster 2",32,2,9,46.39,21,69,44.01,2.38
703,"Cluster 2",31,2,4,54.17,24,57,51.29,2.88
704,"Cluster 3",52,2,1,71.74,31,38,74.42,-2.68
705,"Cluster 2",31,2,9,34.05,14,70,35.61,-1.56
706,"Cluster 1",14,2,12,26.73,14,79,25.14,1.59
707,"Cluster 1",7,2,13,22.43,9,80,20.61,1.82
708,"Cluster 2",21,2,7,51.52,21,66,46.62,4.9
709,"Cluster 2",31,3,9,44.68,21,63,44.92,-0.24
710,"Cluster 1",7,2,12,25.97,12,77,23.25,2.72
711,"Cluster 1",8,3,14,3.48,4,95,13.45,-9.97
712,"Cluster 1",8,2,13,16,9,90,16.64,-0.64
713,"Cluster 1",14,2,16,10.6,9,93,13.48,-2.88
714,"Cluster 1",7,1,13,20.27,9,79,21.06,-0.79
715,"Cluster 1",10,3,16,7.24,5,98,13.01,-5.77
716,"Cluster 2",28,2,8,36.86,17,74,38.85,-1.99
717,"Cluster 2",24,3,11,43.78,22,56,46.58,-2.8
718,"Cluster 2",24,2,14,39.05,17,75,37.03,2.02
719,"Cluster 3",50,2,4,75.65,33,44,73.59,2.06
720,"Cluster 2",27,2,7,34.89,18,70,39.73,-4.84
721,"Cluster 1",13,1,13,28.92,12,71,27.84,1.08
722,"Cluster 1",8,2,15,21.79,9,76,20.97,0.82
723,"Cluster 1",9,2,16,20.31,8,87,17.75,2.56
724,"Cluster 3",47,2,4,71.72,31,39,72.54,-0.82
725,"Cluster 1",10,2,17,20.21,9,75,20.88,-0.67
726,"Cluster 3",48,1,1,71.22,33,56,68.53,2.69
727,"Cluster 3",52,3,4,74.07,32,39,73.66,0.41
728,"Cluster 1",12,2,15,23.37,11,85,21.12,2.25
729,"Cluster 3",50,1,2,72.96,31,41,73.39,-0.43
730,"Cluster 2",24,2,6,46.06,22,70,44.85,1.21
731,"Cluster 1",7,2,13,21.89,9,84,19.97,1.92
732,"Cluster 3",47,2,3,78.57,32,38,75.68,2.89
733,"Cluster 1",10,2,12,14.96,8,83,17.87,-2.91
734,"Cluster 3",50,1,1,65.11,30,53,68.34,-3.23
735,"Cluster 2",26,3,7,39.03,19,71,40.14,-1.11
736,"Cluster 2",27,3,9,50.98,21,54,47.36,3.62
737,"Cluster 3",51,3,3,72.96,30,44,71.67,1.29
738,"Cluster 3",48,2,1,72.9,31,39,73.02,-0.12
739,"Cluster 2",27,1,9,42.04,21,64,45.88,-3.84
740,"Cluster 2",29,2,7,45.16,21,59,45.79,-0.63
741,"Cluster 3",52,2,6,69.63,28,39,70.93,-1.3
742,"Cluster 2",24,2,11,40.8,19,69,41.88,-1.08
743,"Cluster 2",27,1,10,45.92,22,67,45.72,0.2
744,"Cluster 1",6,2,11,13.24,10,97,17.92,-4.68
745,"Cluster 2",22,2,9,46.89,21,61,45.87,1.02
746,"Cluster 1",8,3,15,16.18,7,83,17.37,-1.19
747,"Cluster 3",50,2,5,75.6,30,43,72.68,2.92
748,"Cluster 2",21,2,8,49.31,20,49,49.24,0.07
749,"Cluster 1",9,2,16,24.01,14,81,23.76,0.25
750,"Cluster 3",50,2,3,70.49,29,40,71.73,-1.24
751,"Cluster 2",26,1,9,46.86,21,65,46.2,0.66
752,"Cluster 2",26,2,9,44.43,20,68,43.56,0.87
753,"Cluster 2",23,2,7,59.03,25,60,52.34,6.69
754,"Cluster 2",23,3,8,48.56,24,57,47.88,0.68
755,"Cluster 1",6,2,13,26.39,11,83,21.63,4.76
756,"Cluster 1",10,2,16,33.67,18,70,31.63,2.04
757,"Cluster 1",15,1,16,12.71,6,87,14.9,-2.19
758,"Cluster 3",55,1,3,70.51,29,55,67.83,2.68
759,"Cluster 2",27,2,7,55.39,22,60,49.85,5.54
760,"Cluster 2",20,2,9,36.95,16,75,36.82,0.13
761,"Cluster 1",14,1,16,25.48,14,80,25.88,-0.4
762,"Cluster 2",30,2,10,45.31,21,64,45.63,-0.32
763,"Cluster 1",4,2,12,20.83,13,82,22.51,-1.68
764,"Cluster 1",13,2,14,16.15,8,90,15.75,0.4
765,"Cluster 1",13,2,18,18.64,9,80,19.39,-0.75
766,"Cluster 2",26,2,5,49.12,22,61,48.17,0.95
767,"Cluster 2",26,1,5,30.93,15,80,34.54,-3.61
768,"Cluster 1",9,2,14,27.2,12,85,23.26,3.94
769,"Cluster 1",10,2,13,20.16,12,81,22.21,-2.05
770,"Cluster 1",5,2,15,14.18,8,94,15.04,-0.86
771,"Cluster 3",50,4,5,74.24,32,40,73,1.24
772,"Cluster 3",54,2,3,77.92,33,33,77.02,0.9
773,"Cluster 1",8,2,13,13.34,8,94,15.27,-1.93
774,"Cluster 3",47,1,3,75.71,31,40,74.14,1.57
775,"Cluster 2",24,3,10,41.49,21,67,41.71,-0.22
776,"Cluster 2",35,2,14,44.98,19,56,42.77,2.21
777,"Cluster 2",21,4,11,39.77,19,70,39.79,-0.02
778,"Cluster 1",11,2,14,16.78,7,82,18.3,-1.52
779,"Cluster 1",8,1,16,16.26,7,95,15.19,1.07
780,"Cluster 3",43,2,2,77.97,35,29,79.4,-1.43
781,"Cluster 2",25,2,9,40.34,17,85,37.94,2.4
782,"Cluster 3",48,2,1,73.31,33,52,72.68,0.63
783,"Cluster 2",24,3,6,48.66,23,63,46.66,2
784,"Cluster 1",8,1,14,21.38,11,79,23.34,-1.96
785,"Cluster 3",51,1,6,84.5,37,34,80.93,3.57
786,"Cluster 1",11,1,16,25.39,12,83,23.83,1.56
787,"Cluster 2",26,3,8,49.32,20,58,43.78,5.54
788,"Cluster 2",26,3,6,45.19,19,58,44.36,0.83
789,"Cluster 2",29,3,6,38.59,18,69,40.03,-1.44
790,"Cluster 3",44,2,1,84.02,34,25,80.72,3.3
791,"Cluster 3",48,2,2,75.53,35,39,76.9,-1.37
792,"Cluster 1",11,2,11,14.87,6,79,18.59,-3.72
793,"Cluster 2",27,2,6,56.22,25,51,53.78,2.44
794,"Cluster 1",12,1,16,20.19,12,85,22.18,-1.99
795,"Cluster 3",51,2,3,68.02,31,39,71.85,-3.83
796,"Cluster 1",6,2,12,25.63,12,84,22.45,3.18
797,"Cluster 2",26,2,9,48.91,21,50,48.67,0.24
798,"Cluster 2",23,4,7,36.73,15,71,37.4,-0.67
799,"Cluster 2",23,2,9,50.33,22,59,47.62,2.71
800,"Cluster 2",25,2,9,44.57,23,61,47.16,-2.59
801,"Cluster 1",13,2,18,15.81,8,91,14.93,0.88
802,"Cluster 2",29,1,8,52.33,24,47,53.05,-0.72
803,"Cluster 2",26,2,9,44.34,18,71,41.55,2.79
804,"Cluster 2",24,1,8,49.4,23,54,49.61,-0.21
805,"Cluster 2",27,2,9,42.66,18,69,41.73,0.93
806,"Cluster 3",59,2,5,84.24,35,34,80.1,4.14
807,"Cluster 1",10,2,15,8.09,7,93,14.26,-6.17
808,"Cluster 1",8,3,19,23.91,14,84,24.16,-0.25
809,"Cluster 1",10,3,17,20.45,12,81,20.6,-0.15
810,"Cluster 1",13,3,13,12.9,9,90,16.24,-3.34
811,"Cluster 2",25,2,8,50.87,21,60,47.31,3.56
812,"Cluster 1",5,2,15,17.17,9,87,17.57,-0.4
813,"Cluster 2",23,2,7,51.68,22,60,49.42,2.26
814,"Cluster 3",50,2,3,75.24,31,38,73.76,1.48
815,"Cluster 3",52,2,1,84.76,35,37,80.08,4.68
816,"Cluster 2",21,1,7,52,24,66,48.99,3.01
817,"Cluster 2",28,2,4,52.29,23,61,50.24,2.05
818,"Cluster 2",22,2,11,41.69,21,67,44.44,-2.75
819,"Cluster 1",9,2,11,10.41,7,93,16,-5.59
820,"Cluster 1",6,1,18,9.15,8,95,14.57,-5.42
821,"Cluster 1",13,3,13,23.33,10,75,22.08,1.25
822,"Cluster 2",24,1,9,47,21,67,45.59,1.41
823,"Cluster 1",8,1,13,12.28,6,88,16.54,-4.26
824,"Cluster 3",51,3,2,82.1,36,31,80.39,1.71
825,"Cluster 1",12,3,13,20.2,12,87,19.39,0.81
826,"Cluster 2",22,2,13,45.23,22,63,46.9,-1.67
827,"Cluster 1",14,2,20,13.32,5,87,15.69,-2.37
828,"Cluster 2",25,1,14,51.45,26,62,49,2.45
829,"Cluster 2",21,2,3,45.85,20,71,43.63,2.22
830,"Cluster 1",9,2,15,19.65,8,85,19.28,0.37
831,"Cluster 2",20,1,7,42.11,20,67,43.65,-1.54
832,"Cluster 3",48,2,5,80.09,34,37,79.3,0.79
833,"Cluster 1",8,3,16,16.35,11,89,18.59,-2.24
834,"Cluster 1",8,2,17,26.78,15,80,25.19,1.59
835,"Cluster 1",7,3,16,28.8,14,79,25.1,3.7
836,"Cluster 1",10,2,13,24.5,14,77,25.19,-0.69
837,"Cluster 1",11,3,14,17.52,8,83,17.38,0.14
838,"Cluster 1",13,2,14,15.36,7,86,16.99,-1.63
839,"Cluster 2",22,1,10,47.68,23,70,45.74,1.94
840,"Cluster 2",20,1,9,40.49,19,69,41.6,-1.11
841,"Cluster 3",55,2,1,85.05,37,25,80.53,4.52
842,"Cluster 1",7,2,16,21.49,13,84,22.62,-1.13
843,"Cluster 1",8,2,15,21.5,12,78,23.59,-2.09
844,"Cluster 2",24,2,7,47.95,20,56,47.04,0.91
845,"Cluster 1",9,2,14,19.85,11,79,23.54,-3.69
846,"Cluster 2",27,1,7,58.26,28,61,54.41,3.85
847,"Cluster 3",49,2,4,72.67,33,41,74.59,-1.92
848,"Cluster 2",23,2,9,39.19,18,79,39.19,0
849,"Cluster 2",16,2,6,48.87,23,55,48.12,0.75
850,"Cluster 2",27,2,9,53.13,24,66,48.05,5.08
851,"Cluster 2",25,2,8,46.07,21,64,46.2,-0.13
852,"Cluster 1",7,2,16,26.92,14,83,23.69,3.23
853,"Cluster 3",46,1,3,81.51,34,33,79.55,1.96
854,"Cluster 1",8,3,17,16.72,9,94,16.3,0.42
