"Finding_ID","Type","CVSS_Score","Remediation_Days","Exploitability_Index","Dependency_Depth","Cluster_Group","Severity"
"VULN-1351","SCA",3.9,21,0.58,4,"GAM Smooth Flow","Low"
"VULN-1352","SCA",5.7,31,0.84,3,"GAM Smooth Flow","Medium"
"VULN-1353","SCA",4,20,0.45,2,"GAM Smooth Flow","Medium"
"VULN-1354","SCA",0,4,0.14,1,"GAM Smooth Flow","Low"
"VULN-1355","SCA",5.8,32,0.78,2,"GAM Smooth Flow","Medium"
"VULN-1356","SCA",3.3,17,0.74,1,"GAM Smooth Flow","Low"
"VULN-1357","SCA",5.2,30,0.44,2,"GAM Smooth Flow","Medium"
"VULN-1358","SCA",2.8,17,0.86,1,"GAM Smooth Flow","Low"
"VULN-1359","SCA",9.1,59,1,2,"GAM Smooth Flow","Critical"
"VULN-1360","SCA",10,67,1,4,"GAM Smooth Flow","Critical"
"VULN-1361","SCA",1.4,11,0.42,1,"GAM Smooth Flow","Low"
"VULN-1362","SCA",0.3,1,0.2,1,"GAM Smooth Flow","Low"
"VULN-1363","SCA",2.8,16,0.68,1,"GAM Smooth Flow","Low"
"VULN-1364","SCA",5.6,29,0.8,4,"GAM Smooth Flow","Medium"
"VULN-1365","SCA",0.7,6,0.26,3,"GAM Smooth Flow","Low"
"VULN-1366","SCA",2.9,18,0.47,2,"GAM Smooth Flow","Low"
"VULN-1367","SCA",8,52,0.86,1,"GAM Smooth Flow","High"
"VULN-1368","SCA",5.5,33,1,1,"GAM Smooth Flow","Medium"
"VULN-1369","SCA",2.3,11,0.43,3,"GAM Smooth Flow","Low"
"VULN-1370","SCA",4.3,19,0.63,2,"GAM Smooth Flow","Medium"
"VULN-1371","SCA",2.6,17,0.38,2,"GAM Smooth Flow","Low"
"VULN-1372","SCA",8.4,55,0.9,3,"GAM Smooth Flow","High"
"VULN-1373","SCA",7.3,42,0.99,1,"GAM Smooth Flow","High"
"VULN-1374","SCA",1.6,8,0.22,2,"GAM Smooth Flow","Low"
"VULN-1375","SCA",4.1,22,0.66,2,"GAM Smooth Flow","Medium"
"VULN-1376","SCA",1.4,7,0.33,2,"GAM Smooth Flow","Low"
"VULN-1377","SCA",5.4,33,0.86,4,"GAM Smooth Flow","Medium"
"VULN-1378","SCA",0.6,9,0,6,"GAM Smooth Flow","Low"
"VULN-1379","SCA",3.7,18,0.78,4,"GAM Smooth Flow","Low"
"VULN-1380","SCA",8.4,56,1,1,"GAM Smooth Flow","High"
"VULN-1381","SCA",5.3,27,0.94,4,"GAM Smooth Flow","Medium"
"VULN-1382","SCA",5.2,29,0.54,5,"GAM Smooth Flow","Medium"
"VULN-1383","SCA",6.4,40,0.8,1,"GAM Smooth Flow","Medium"
"VULN-1384","SCA",6,34,0.8,3,"GAM Smooth Flow","Medium"
"VULN-1385","SCA",6.9,44,0.98,2,"GAM Smooth Flow","Medium"
"VULN-1386","SCA",8.5,55,0.96,2,"GAM Smooth Flow","High"
"VULN-1387","SCA",7.1,44,1,4,"GAM Smooth Flow","High"
"VULN-1388","SCA",6.8,39,1,2,"GAM Smooth Flow","Medium"
"VULN-1389","SCA",1.3,7,0.37,5,"GAM Smooth Flow","Low"
"VULN-1390","SCA",9.4,64,1,1,"GAM Smooth Flow","Critical"
"VULN-1391","SCA",8.5,54,0.97,2,"GAM Smooth Flow","High"
"VULN-1392","SCA",5.2,31,0.87,2,"GAM Smooth Flow","Medium"
"VULN-1393","SCA",2.8,16,0.53,2,"GAM Smooth Flow","Low"
"VULN-1394","SCA",9.3,64,1,3,"GAM Smooth Flow","Critical"
"VULN-1395","SCA",3.7,23,0.76,4,"GAM Smooth Flow","Low"
"VULN-1396","SCA",4,22,0.52,1,"GAM Smooth Flow","Medium"
"VULN-1397","SCA",6.9,44,0.82,1,"GAM Smooth Flow","Medium"
"VULN-1398","SCA",2.9,18,0.37,2,"GAM Smooth Flow","Low"
"VULN-1399","SCA",0.5,8,0.35,2,"GAM Smooth Flow","Low"
"VULN-1400","SCA",7,41,0.74,1,"GAM Smooth Flow","High"
"VULN-1401","SCA",0.3,8,0.04,2,"GAM Smooth Flow","Low"
"VULN-1402","SCA",5.3,30,0.77,1,"GAM Smooth Flow","Medium"
"VULN-1403","SCA",3.3,18,0.39,1,"GAM Smooth Flow","Low"
"VULN-1404","SCA",9.4,64,1,2,"GAM Smooth Flow","Critical"
"VULN-1405","SCA",7.2,46,0.72,3,"GAM Smooth Flow","High"
"VULN-1406","SCA",1.6,9,0.64,2,"GAM Smooth Flow","Low"
"VULN-1407","SCA",4.4,26,0.68,2,"GAM Smooth Flow","Medium"
"VULN-1408","SCA",2.8,17,0.32,4,"GAM Smooth Flow","Low"
"VULN-1409","SCA",3.8,21,0.28,1,"GAM Smooth Flow","Low"
"VULN-1410","SCA",2.1,14,0.29,1,"GAM Smooth Flow","Low"
"VULN-1411","SCA",8.2,54,1,2,"GAM Smooth Flow","High"
"VULN-1412","SCA",9.5,64,0.93,1,"GAM Smooth Flow","Critical"
"VULN-1413","SCA",3.6,21,0.36,1,"GAM Smooth Flow","Low"
"VULN-1414","SCA",8,47,0.73,2,"GAM Smooth Flow","High"
"VULN-1415","SCA",4.2,22,0.64,4,"GAM Smooth Flow","Medium"
"VULN-1416","SCA",0.6,7,0.34,2,"GAM Smooth Flow","Low"
"VULN-1417","SCA",5.7,33,0.8,2,"GAM Smooth Flow","Medium"
"VULN-1418","SCA",7.2,43,0.71,2,"GAM Smooth Flow","High"
"VULN-1419","SCA",9.5,62,1,2,"GAM Smooth Flow","Critical"
"VULN-1420","SCA",4,21,0.76,1,"GAM Smooth Flow","Medium"
"VULN-1421","SCA",0.2,2,0.28,2,"GAM Smooth Flow","Low"
"VULN-1422","SCA",6.3,36,0.87,3,"GAM Smooth Flow","Medium"
"VULN-1423","SCA",6.9,40,0.66,1,"GAM Smooth Flow","Medium"
"VULN-1424","SCA",3.9,25,0.4,1,"GAM Smooth Flow","Low"
"VULN-1425","SCA",1,9,0.2,3,"GAM Smooth Flow","Low"
"VULN-1426","SCA",9.9,70,1,3,"GAM Smooth Flow","Critical"
"VULN-1427","SCA",5.6,29,0.82,4,"GAM Smooth Flow","Medium"
"VULN-1428","SCA",6.9,37,0.91,2,"GAM Smooth Flow","Medium"
"VULN-1429","SCA",1.1,7,0.23,3,"GAM Smooth Flow","Low"
"VULN-1430","SCA",3.1,14,0.56,1,"GAM Smooth Flow","Low"
"VULN-1431","SCA",9.5,64,1,3,"GAM Smooth Flow","Critical"
"VULN-1432","SCA",9.6,63,1,2,"GAM Smooth Flow","Critical"
"VULN-1433","SCA",1.2,7,0.43,2,"GAM Smooth Flow","Low"
"VULN-1434","SCA",7.7,50,1,1,"GAM Smooth Flow","High"
"VULN-1435","SCA",2.1,12,0.3,2,"GAM Smooth Flow","Low"
"VULN-1436","SCA",2.2,14,0.29,1,"GAM Smooth Flow","Low"
"VULN-1437","SCA",9.6,69,1,4,"GAM Smooth Flow","Critical"
"VULN-1438","SCA",0.3,5,0.09,6,"GAM Smooth Flow","Low"
"VULN-1439","SCA",3.1,17,0.64,4,"GAM Smooth Flow","Low"
"VULN-1440","SCA",6,37,0.77,2,"GAM Smooth Flow","Medium"
"VULN-1441","SCA",6.1,36,0.79,6,"GAM Smooth Flow","Medium"
"VULN-1442","SCA",9.9,69,1,2,"GAM Smooth Flow","Critical"
"VULN-1443","SCA",0.6,6,0.18,1,"GAM Smooth Flow","Low"
"VULN-1444","SCA",2.2,10,0.35,4,"GAM Smooth Flow","Low"
"VULN-1445","SCA",6.5,41,0.85,1,"GAM Smooth Flow","Medium"
"VULN-1446","SCA",4,23,0.61,2,"GAM Smooth Flow","Medium"
"VULN-1447","SCA",8,51,0.93,2,"GAM Smooth Flow","High"
"VULN-1448","SCA",4.4,23,0.75,5,"GAM Smooth Flow","Medium"
"VULN-1449","SCA",5.6,33,0.83,1,"GAM Smooth Flow","Medium"
"VULN-1450","SCA",0,4,0.08,6,"GAM Smooth Flow","Low"
"VULN-1451","SCA",3.3,20,0.59,4,"GAM Smooth Flow","Low"
"VULN-1452","SCA",2.2,10,0.34,3,"GAM Smooth Flow","Low"
"VULN-1453","SCA",5.3,29,0.8,1,"GAM Smooth Flow","Medium"
"VULN-1454","SCA",9.3,62,1,1,"GAM Smooth Flow","Critical"
"VULN-1455","SCA",2.3,11,0.42,2,"GAM Smooth Flow","Low"
"VULN-1456","SCA",3.7,18,0.52,1,"GAM Smooth Flow","Low"
"VULN-1457","SCA",9.9,68,1,3,"GAM Smooth Flow","Critical"
"VULN-1458","SCA",2.8,16,0.37,3,"GAM Smooth Flow","Low"
"VULN-1459","SCA",7.2,45,1,5,"GAM Smooth Flow","High"
"VULN-1460","SCA",1.6,8,0.31,3,"GAM Smooth Flow","Low"
"VULN-1461","SCA",6,35,0.53,1,"GAM Smooth Flow","Medium"
"VULN-1462","SCA",5.1,28,0.68,3,"GAM Smooth Flow","Medium"
"VULN-1463","SCA",3.2,17,0.42,1,"GAM Smooth Flow","Low"
"VULN-1464","SCA",2.3,13,0.56,1,"GAM Smooth Flow","Low"
"VULN-1465","SCA",9.9,66,1,4,"GAM Smooth Flow","Critical"
"VULN-1466","SCA",10,70,1,1,"GAM Smooth Flow","Critical"
"VULN-1467","SCA",3.1,16,0.78,1,"GAM Smooth Flow","Low"
"VULN-1468","SCA",3.9,22,0.89,1,"GAM Smooth Flow","Low"
"VULN-1469","SCA",9.4,63,1,1,"GAM Smooth Flow","Critical"
"VULN-1470","SCA",9.4,62,1,1,"GAM Smooth Flow","Critical"
"VULN-1471","SCA",1.6,9,0.36,3,"GAM Smooth Flow","Low"
"VULN-1472","SCA",4.5,28,0.63,1,"GAM Smooth Flow","Medium"
"VULN-1473","SCA",9,56,1,1,"GAM Smooth Flow","Critical"
"VULN-1474","SCA",6.1,35,0.73,1,"GAM Smooth Flow","Medium"
"VULN-1475","SCA",0.1,2,0.25,1,"GAM Smooth Flow","Low"
"VULN-1476","SCA",3.6,19,0.51,4,"GAM Smooth Flow","Low"
"VULN-1477","SCA",8,52,0.87,6,"GAM Smooth Flow","High"
"VULN-1478","SCA",2.1,12,0.29,4,"GAM Smooth Flow","Low"
"VULN-1479","SCA",7.6,48,1,1,"GAM Smooth Flow","High"
"VULN-1480","SCA",0.1,1,0.45,3,"GAM Smooth Flow","Low"
"VULN-1481","SCA",4.2,23,0.71,1,"GAM Smooth Flow","Medium"
"VULN-1482","SCA",8.3,51,1,1,"GAM Smooth Flow","High"
"VULN-1483","SCA",8.7,59,0.97,1,"GAM Smooth Flow","High"
"VULN-1484","SCA",4.1,23,0.73,1,"GAM Smooth Flow","Medium"
"VULN-1485","SCA",2.3,13,0.52,2,"GAM Smooth Flow","Low"
"VULN-1486","SCA",7.6,52,0.99,1,"GAM Smooth Flow","High"
"VULN-1487","SCA",9.6,64,1,2,"GAM Smooth Flow","Critical"
"VULN-1488","SCA",1.7,10,0.28,2,"GAM Smooth Flow","Low"
"VULN-1489","SCA",7.6,48,1,2,"GAM Smooth Flow","High"
"VULN-1490","SCA",7.2,47,1,2,"GAM Smooth Flow","High"
"VULN-1491","SCA",1.6,10,0.55,4,"GAM Smooth Flow","Low"
"VULN-1492","SCA",7.7,46,0.88,1,"GAM Smooth Flow","High"
"VULN-1493","SCA",6.3,36,1,1,"GAM Smooth Flow","Medium"
"VULN-1494","SCA",3.7,18,0.86,2,"GAM Smooth Flow","Low"
"VULN-1495","SCA",9.7,66,0.96,2,"GAM Smooth Flow","Critical"
"VULN-1496","SCA",2.6,12,0.62,2,"GAM Smooth Flow","Low"
"VULN-1497","SCA",7.9,53,1,1,"GAM Smooth Flow","High"
"VULN-1498","SCA",4.8,27,0.71,2,"GAM Smooth Flow","Medium"
"VULN-1499","SCA",5.3,26,0.79,3,"GAM Smooth Flow","Medium"
"VULN-1500","SCA",8,54,1,4,"GAM Smooth Flow","High"
